"Spindle Length","Number of Motors"
0.00000151021708902785,37
0.00000148187502960676,42
0.00000149329501104885,34
0.00000156845382205629,30
0.00000147414124648002,37
0.00000150627338853838,39
0.00000149478941584767,35
0.000001488270652675,33
0.00000147967697674772,41
0.000001484952360761,42
0.00000149620780133038,35
0.00000157375577289814,28
0.00000147899464542914,37
0.00000163672809124827,28
0.0000015091227839464,38
0.00000169973340287934,37
0.00000147928830377508,33
0.00000146512988773738,38
0.00000159551922740951,39
0.00000154153626459348,37
0.00000144761969758507,35
0.00000151475249243861,36
0.0000015658397544191,39
0.00000152652196880302,37
0.00000146693783411708,35
0.0000015100214543648,40
0.00000155457750075396,41
0.00000152056404853944,33
0.00000149752993380854,31
0.00000150890193202119,35
0.00000151878244736275,33
0.00000147959782298377,44
0.00000148626612362399,40
0.00000150415085859838,33
0.00000145227207383341,34
0.00000148933773468921,42
0.00000149943903152517,36
0.00000165971668478752,39
0.00000149296035781298,35
0.00000152135735084255,37
0.00000153097719813729,40
0.00000167834745271368,31
0.00000179796185946901,27
0.00000148793419834533,39
0.00000155569566007985,37
0.00000168781090332535,32
0.00000149432743425086,37
0.00000180324485872047,27
0.00000154975391877692,36
0.00000146433717884218,36
0.00000151906444220497,37
0.00000150008058715756,44
0.00000147293014890029,33
0.00000152344758839705,26
0.00000146091731572149,38
0.00000150490698455975,35
0.00000148656009031474,39
0.0000014693530563664,39
0.00000152457876067207,40
0.000001529234926028,42
0.00000146755524080974,35
0.00000168851470604041,31
0.000001478708290121,35
0.00000148577923412344,30
0.0000014735243278864,30
0.00000147379065945289,35
0.00000149800415251845,40
0.00000147949090077573,43
0.00000153926530999276,38
0.00000148435364331572,28
0.00000151382852809992,35
0.00000150898395531458,32
0.00000151895097688241,38
0.00000147260590033212,41
0.000001435106807359,43
0.00000178058691469831,27
0.00000145873451448991,46
0.00000149513246164494,38
0.00000155906239415886,36
0.00000148149303865663,36
0.00000145470308282971,31
0.00000148471700373085,37
0.00000152264897756224,33
0.00000148806388953811,36
0.00000145408920788106,38
0.00000152949304120267,30
0.00000147609434889263,30
0.00000150729849054533,37
0.0000014794655516318,38
0.00000151946264877044,40
0.00000150741278704308,30
0.00000170820525787763,31
0.00000151857089563844,30
0.00000146217126102148,29
0.00000149305565193205,35
0.0000014737354637675,33
0.00000150767655186189,34
0.00000145021603787785,38
0.00000148491255479725,30
0.00000151676983111464,37
